#{"t_start": 1746947258.6964107, "env_id": "None"}
r,l,t
1.0,1,15.573437
-1.0,1,15.574072
-1.0,1,15.574728
1.0,1,15.575395
-1.0,1,15.576028
1.0,1,15.576774
1.0,1,15.577495
1.0,1,15.578306
1.0,1,15.57894
-1.0,1,15.579599
1.0,1,15.580255
1.0,1,15.580889
1.0,1,15.58155
1.0,1,15.582182
1.0,1,15.582843
1.0,1,15.583507
1.0,1,15.584139
1.0,1,15.584802
1.0,1,15.585468
-1.0,1,15.586099
1.0,1,15.586844
1.0,1,15.587579
-1.0,1,15.588335
1.0,1,15.588969
-1.0,1,15.590133
1.0,1,15.590801
1.0,1,15.59147
-1.0,1,15.592106
1.0,1,15.592774
-1.0,1,15.593446
1.0,1,15.594081
-1.0,1,15.594771
-1.0,1,15.595492
-1.0,1,15.596251
1.0,1,15.597006
-1.0,1,15.597743
1.0,1,15.598474
-1.0,1,15.599117
1.0,1,15.599786
-1.0,1,15.60046
1.0,1,15.601101
-1.0,1,15.601774
1.0,1,15.602447
-1.0,1,15.603082
1.0,1,15.603744
1.0,1,15.604413
-1.0,1,15.605049
-1.0,1,15.605723
1.0,1,15.606394
1.0,1,15.607167
-1.0,1,15.60802
-1.0,1,15.608686
1.0,1,15.609351
1.0,1,15.609986
-1.0,1,15.610646
1.0,1,15.611307
1.0,1,15.61195
-1.0,1,15.612647
1.0,1,15.61335
-1.0,1,15.613985
1.0,1,15.614669
1.0,1,15.615336
-1.0,1,15.615971
-1.0,1,15.616688
-1.0,1,15.617459
-1.0,1,15.618276
1.0,1,15.618909
1.0,1,15.619571
1.0,1,15.620213
-1.0,1,15.620867
-1.0,1,15.621532
1.0,1,15.622165
-1.0,1,15.622834
1.0,1,15.623499
-1.0,1,15.624134
-1.0,1,15.624815
1.0,1,15.625481
-1.0,1,15.626133
-1.0,1,15.626893
-1.0,1,15.627608
-1.0,1,15.628343
1.0,1,15.628973
1.0,1,15.629634
1.0,1,15.630293
-1.0,1,15.630922
-1.0,1,15.631583
-1.0,1,15.632226
-1.0,1,15.632899
1.0,1,15.633561
-1.0,1,15.634191
1.0,1,15.634852
-1.0,1,15.635517
-1.0,1,15.636149
-1.0,1,15.636932
-1.0,1,15.637635
-1.0,1,15.638365
1.0,1,15.638998
1.0,1,15.639665
-1.0,1,15.640325
-1.0,1,15.640954
1.0,1,15.64162
-1.0,1,15.642276
1.0,1,15.642949
-1.0,1,15.643612
1.0,1,15.644273
-1.0,1,15.644906
1.0,1,15.645605
1.0,1,15.646276
1.0,1,15.647036
1.0,1,15.647841
-1.0,1,15.648538
-1.0,1,15.649173
1.0,1,15.649843
-1.0,1,15.650528
1.0,1,15.651164
1.0,1,15.651828
1.0,1,15.652599
1.0,1,15.653331
-1.0,1,15.653971
-1.0,1,15.654643
-1.0,1,15.655311
-1.0,1,15.655943
1.0,1,15.656661
1.0,1,15.657401
-1.0,1,15.658163
1.0,1,15.658838
1.0,1,15.659513
-1.0,1,15.660154
-1.0,1,15.660823
1.0,1,15.661528
-1.0,1,15.662164
1.0,1,15.662834
1.0,1,15.663507
1.0,1,15.664145
1.0,1,15.664819
1.0,1,15.6655
1.0,1,15.666139
1.0,1,15.666903
-1.0,1,15.667715
1.0,1,15.668446
1.0,1,15.669086
1.0,1,15.669765
-1.0,1,15.67045
1.0,1,15.671095
-1.0,1,15.67177
-1.0,1,15.672447
1.0,1,15.673086
1.0,1,15.673762
1.0,1,15.674628
1.0,1,15.675342
-1.0,1,15.675986
1.0,1,15.676769
-1.0,1,15.677477
-1.0,1,15.678327
1.0,1,15.67902
1.0,1,15.679681
1.0,1,15.680346
-1.0,1,15.680978
-1.0,1,15.681648
1.0,1,15.68232
-1.0,1,15.683025
1.0,1,15.6837
-1.0,1,15.684358
1.0,1,15.685012
1.0,1,15.685671
1.0,1,15.686333
1.0,1,15.687069
1.0,1,15.687834
1.0,1,15.688518
1.0,1,15.689147
1.0,1,15.689804
-1.0,1,15.690467
-1.0,1,15.691097
1.0,1,15.691777
1.0,1,15.692442
-1.0,1,15.693335
-1.0,1,15.694016
1.0,1,15.694718
-1.0,1,15.695439
1.0,1,15.696251
1.0,1,15.697081
-1.0,1,15.697856
-1.0,1,15.698647
1.0,1,15.699399
1.0,1,15.700148
-1.0,1,15.700899
1.0,1,15.701617
-1.0,1,15.702325
-1.0,1,15.702996
1.0,1,15.703701
-1.0,1,15.704405
1.0,1,15.705067
1.0,1,15.705774
1.0,1,15.706493
-1.0,1,15.707365
-1.0,1,15.708139
-1.0,1,15.708795
1.0,1,15.709483
-1.0,1,15.710105
1.0,1,15.710812
-1.0,1,15.711591
-1.0,1,15.712247
-1.0,1,15.712919
1.0,1,15.71358
1.0,1,15.7142
1.0,1,15.714859
1.0,1,15.715518
1.0,1,15.716148
-1.0,1,15.716907
1.0,1,15.717593
1.0,1,15.718318
-1.0,1,15.71894
-1.0,1,15.721041
-1.0,1,15.721704
-1.0,1,15.722364
-1.0,1,15.722993
1.0,1,15.72365
-1.0,1,15.724308
-1.0,1,15.724934
1.0,1,15.725588
-1.0,1,15.726222
-1.0,1,15.726985
-1.0,1,15.727751
-1.0,1,15.728488
-1.0,1,15.729161
1.0,1,15.729859
-1.0,1,15.730522
1.0,1,15.73115
1.0,1,15.731804
1.0,1,15.732497
1.0,1,15.73314
1.0,1,15.733818
-1.0,1,15.734618
-1.0,1,15.735301
-1.0,1,15.735947
1.0,1,15.736706
1.0,1,15.737465
1.0,1,15.73822
-1.0,1,15.738918
1.0,1,15.739614
-1.0,1,15.740263
1.0,1,15.740888
-1.0,1,15.741545
-1.0,1,15.742167
1.0,1,15.742821
1.0,1,15.74348
-1.0,1,15.744103
-1.0,1,15.74476
1.0,1,15.745423
1.0,1,15.746048
1.0,1,15.74677
-1.0,1,15.747584
-1.0,1,15.748328
1.0,1,15.748949
-1.0,1,15.749603
-1.0,1,15.750249
-1.0,1,15.750876
-1.0,1,15.751526
1.0,1,15.752152
1.0,1,15.752802
-1.0,1,15.753604
-1.0,1,15.754251
-1.0,1,15.754878
1.0,1,15.755528
-1.0,1,15.756147
1.0,1,15.756946
-1.0,1,15.757658
-1.0,1,15.758366
1.0,1,15.758986
1.0,1,15.759634
1.0,1,15.76028
-1.0,1,15.760903
-1.0,1,15.761552
-1.0,1,15.762174
1.0,1,15.762825
1.0,1,15.763478
1.0,1,15.764099
-1.0,1,15.764744
-1.0,1,15.765397
-1.0,1,15.766021
-1.0,1,15.766777
-1.0,1,15.76763
1.0,1,15.768353
1.0,1,15.76902
-1.0,1,15.769704
1.0,1,15.770424
1.0,1,15.771124
-1.0,1,15.771832
-1.0,1,15.772485
1.0,1,15.773291
1.0,1,15.773995
-1.0,1,15.774727
1.0,1,15.775445
1.0,1,15.77615
-1.0,1,15.777002
1.0,1,15.777776
